Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:09       2   44.90    0.00   15.31    3.06    0.00    8.16    5.10    0.00    0.00   23.47
17:04:09       3   41.00    0.00   21.00    1.00    0.00    2.00    7.00    0.00    0.00   28.00
17:04:09       4   43.88    0.00   15.31    0.00    0.00    9.18    7.14    0.00    0.00   24.49
17:04:09       5   37.50    0.00   16.67    7.29    0.00    7.29    8.33    0.00    0.00   22.92
17:04:09       6   50.50    0.00    9.90    0.99    0.00    9.90    6.93    0.00    0.00   21.78
17:04:09       7   43.56    0.00    9.90    0.00    0.00    7.92    4.95    0.00    0.00   33.66
17:04:09       8   53.06    0.00   12.24    0.00    0.00    6.12    5.10    0.00    0.00   23.47
17:04:09       9   59.41    0.00   11.88    0.00    0.00    1.98    5.94    0.00    0.00   20.79
17:04:09      10   52.00    0.00   15.00    0.00    0.00    3.00    6.00    0.00    0.00   24.00
17:04:09      11   34.62    0.00   20.19    6.73    0.00    0.96    8.65    0.00    0.00   28.85
17:04:09      12   63.46    0.00    9.62    0.96    0.00    1.92    3.85    0.00    0.00   20.19
17:04:09      13   41.35    0.00   22.12    0.00    0.00    0.96   10.58    0.00    0.00   25.00
17:04:09      14   43.14    0.00   20.59    0.00    0.00    1.96    8.82    0.00    0.00   25.49
17:04:09      15   56.73    0.00   12.50    0.00    0.00    2.88    5.77    0.00    0.00   22.12

17:04:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:10     all   45.47    0.00   15.10    1.36    0.00    5.24    7.70    0.00    0.00   25.14
17:04:10       0   42.72    0.00   17.48    0.00    0.00    1.94    6.80    0.00    0.00   31.07
17:04:10       1   54.90    0.00    9.80    0.00    0.00    8.82    6.86    0.00    0.00   19.61
17:04:10       2   30.39    0.00   16.67    5.88    0.00    9.80    9.80    0.00    0.00   27.45
17:04:10       3   39.81    0.00   14.56    0.00    0.00    6.80    5.83    0.00    0.00   33.01
17:04:10       4   46.60    0.00   10.68    0.00    0.00    9.71    8.74    0.00    0.00   24.27
17:04:10       5   33.98    0.00   14.56    6.80    0.00    5.83   10.68    0.00    0.00   28.16
17:04:10       6   56.00    0.00    9.00    0.00    0.00    8.00    6.00    0.00    0.00   21.00
17:04:10       7   41.35    0.00   16.35    0.00    0.00   11.54    6.73    0.00    0.00   24.04
17:04:10       8   47.00    0.00   12.00    3.00    0.00    3.00    8.00    0.00    0.00   27.00
17:04:10       9   48.51    0.00   22.77    0.00    0.00    1.98    8.91    0.00    0.00   17.82
17:04:10      10   49.50    0.00   15.84    0.00    0.00    2.97    6.93    0.00    0.00   24.75
17:04:10      11   51.49    0.00   16.83    0.99    0.00    2.97    6.93    0.00    0.00   20.79
17:04:10      12   61.22    0.00    8.16    0.00    0.00    1.02    7.14    0.00    0.00   22.45
17:04:10      13   47.00    0.00   15.00    0.00    0.00    2.00    8.00    0.00    0.00   28.00
17:04:10      14   39.00    0.00   20.00    5.00    0.00    3.00    8.00    0.00    0.00   25.00
17:04:10      15   39.22    0.00   21.57    0.00    0.00    3.92    7.84    0.00    0.00   27.45

17:04:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:11     all   44.31    0.00   16.77    1.81    0.00    5.88    4.63    0.00    0.00   26.60
17:04:11       0   33.33    0.00   16.67    0.00    0.00    7.84    5.88    0.00    0.00   36.27
17:04:11       1   54.00    0.00    9.00    0.00    0.00    5.00    4.00    0.00    0.00   28.00
17:04:11       2   42.57    0.00   15.84    1.98    0.00   13.86    3.96    0.00    0.00   21.78
17:04:11       3   41.84    0.00   15.31    6.12    0.00   10.20    5.10    0.00    0.00   21.43
17:04:11       4   37.00    0.00   23.00    4.00    0.00   10.00    5.00    0.00    0.00   21.00
17:04:11       5   28.43    0.00   20.59    3.92    0.00    5.88    5.88    0.00    0.00   35.29
17:04:11       6   41.00    0.00   17.00    4.00    0.00    7.00    4.00    0.00    0.00   27.00
17:04:11       7   40.82    0.00   18.37    0.00    0.00   11.22    4.08    0.00    0.00   25.51
17:04:11       8   42.86    0.00   21.43    2.04    0.00    3.06    5.10    0.00    0.00   25.51
17:04:11       9   45.45    0.00   23.23    0.00    0.00    1.01    4.04    0.00    0.00   26.26
17:04:11      10   64.71    0.00    5.88    0.00    0.00    4.90    2.94    0.00    0.00   21.57
17:04:11      11   48.98    0.00   13.27    2.04    0.00    2.04    5.10    0.00    0.00   28.57
17:04:11      12   40.82    0.00   17.35    1.02    0.00    5.10    4.08    0.00    0.00   31.63
